week_day,hour,rout_count,temperature,visibility,distance
5,9,18,276,8000,0
5,9,34,276,8000,0
5,9,12,276,8000,0
5,9,11,276,8000,1
5,9,28,276,8000,0
5,9,26,276,8000,1
5,9,22,276,8000,1
5,9,24,276,8000,1
5,9,20,276,8000,0
5,9,18,276,8000,0
5,9,18,276,8000,0
5,9,48,276,8000,0
5,9,48,276,8000,0
5,9,48,276,8000,0
5,9,41,276,8000,0
5,9,41,276,8000,1
5,9,41,276,8000,1
5,9,31,276,8000,1
5,9,47,276,8000,0
5,9,95,276,8000,1
5,9,128,276,8000,1
5,9,63,276,8000,1
5,9,12,276,8000,1
5,9,46,276,8000,0
5,9,47,276,8000,1
5,9,59,276,8000,1
5,10,18,276,9000,0
5,10,34,276,9000,1
5,10,12,276,9000,0
5,10,11,276,9000,1
5,10,28,276,9000,0
5,10,26,276,9000,1
5,10,22,276,9000,1
5,10,24,276,9000,0
5,10,20,276,9000,0
5,10,18,276,9000,0
5,10,18,276,9000,0
5,10,48,276,9000,0
5,10,48,276,9000,0
5,10,48,276,9000,1
5,10,41,276,9000,0
5,10,41,276,9000,0
5,10,41,276,9000,0
5,10,31,276,9000,1
5,10,47,276,9000,1
5,10,95,276,9000,1
5,10,128,276,9000,1
5,10,63,276,9000,1
5,10,12,276,9000,1
5,10,46,276,9000,1
5,10,47,276,9000,1
5,10,59,276,9000,0
5,11,18,277,10000,1
5,11,34,277,10000,1
5,11,12,277,10000,0
5,11,11,277,10000,1
5,11,28,277,10000,0
5,11,26,277,10000,0
5,11,22,277,10000,1
5,11,24,277,10000,0
5,11,20,277,10000,1
5,11,18,277,10000,1
5,11,18,277,10000,0
5,11,48,277,10000,0
5,11,48,277,10000,0
5,11,48,277,10000,0
5,11,41,277,10000,0
5,11,41,277,10000,1
5,11,41,277,10000,0
5,11,31,277,10000,0
5,11,47,277,10000,0
5,11,95,277,10000,1
5,11,128,277,10000,1
5,11,63,277,10000,1
5,11,12,277,10000,1
5,11,46,277,10000,1
5,11,47,277,10000,1
5,11,59,277,10000,1
5,12,18,278,10000,1
5,12,34,278,10000,1
5,12,12,278,10000,1
5,12,11,278,10000,1
5,12,28,278,10000,1
5,12,26,278,10000,1
5,12,22,278,10000,1
5,12,24,278,10000,1
5,12,20,278,10000,1
5,12,18,278,10000,0
5,12,18,278,10000,0
5,12,48,278,10000,0
5,12,48,278,10000,1
5,12,48,278,10000,1
5,12,41,278,10000,1
5,12,41,278,10000,1
5,12,41,278,10000,1
5,12,31,278,10000,1
5,12,47,278,10000,1
5,12,95,278,10000,1
5,12,128,278,10000,1
5,12,63,278,10000,1
5,12,12,278,10000,1
5,12,46,278,10000,1
5,12,47,278,10000,1
5,12,59,278,10000,1
5,13,18,278,10000,0
5,13,34,278,10000,0
5,13,12,278,10000,0
5,13,11,278,10000,0
5,13,28,278,10000,0
5,13,26,278,10000,0
5,13,22,278,10000,0
5,13,24,278,10000,0
5,13,20,278,10000,0
5,13,18,278,10000,0
5,13,18,278,10000,0
5,13,48,278,10000,0
5,13,48,278,10000,1
5,13,48,278,10000,0
5,13,41,278,10000,0
5,13,41,278,10000,0
5,13,41,278,10000,0
5,13,31,278,10000,1
5,13,47,278,10000,0
5,13,95,278,10000,1
5,13,128,278,10000,1
5,13,63,278,10000,1
5,13,12,278,10000,1
5,13,46,278,10000,1
5,13,47,278,10000,1
5,13,59,278,10000,1
5,14,18,279,10000,0
5,14,34,279,10000,0
5,14,11,279,10000,1
5,14,28,279,10000,0
5,14,26,279,10000,1
5,14,22,279,10000,1
5,14,24,279,10000,1
5,14,20,279,10000,0
5,14,18,279,10000,1
5,14,18,279,10000,1
5,14,48,279,10000,1
5,14,48,279,10000,1
5,14,48,279,10000,0
5,14,41,279,10000,1
5,14,41,279,10000,1
5,14,41,279,10000,1
5,14,31,279,10000,1
5,14,47,279,10000,1
5,14,95,279,10000,1
5,14,128,279,10000,1
5,14,63,279,10000,1
5,14,12,279,10000,1
5,14,46,279,10000,1
5,14,47,279,10000,1
5,14,59,279,10000,1
5,15,18,279,10000,0
5,15,34,279,10000,1
5,15,12,279,10000,1
5,15,28,279,10000,1
5,15,26,279,10000,1
5,15,22,279,10000,1
5,15,24,279,10000,1
5,15,20,279,10000,1
5,15,18,279,10000,1
5,15,18,279,10000,1
5,15,48,279,10000,0
5,15,48,279,10000,1
5,15,48,279,10000,1
5,15,41,279,10000,1
5,15,41,279,10000,1
5,15,41,279,10000,1
5,15,31,279,10000,1
5,15,47,279,10000,0
5,15,95,279,10000,1
5,15,128,279,10000,1
5,15,63,279,10000,1
5,15,12,279,10000,1
5,15,46,279,10000,1
5,15,47,279,10000,1
5,15,59,279,10000,1
5,19,18,277,10000,1
5,19,34,277,10000,0
5,19,12,277,10000,0
5,19,11,277,10000,0
5,19,28,277,10000,0
5,19,26,277,10000,0
5,19,22,277,10000,0
5,19,24,277,10000,0
5,19,20,277,10000,0
5,19,18,277,10000,0
5,19,18,277,10000,0
5,19,48,277,10000,0
5,19,48,277,10000,0
5,19,48,277,10000,0
5,19,41,277,10000,0
5,19,41,277,10000,0
5,19,41,277,10000,0
5,19,31,277,10000,0
5,19,47,277,10000,0
5,19,95,277,10000,1
5,19,128,277,10000,0
5,19,63,277,10000,1
5,19,12,277,10000,1
5,19,46,277,10000,1
5,19,47,277,10000,1
5,19,59,277,10000,0
1,8,18,277,10000,0
1,8,34,277,10000,1
1,8,12,277,10000,1
1,8,11,277,10000,1
1,8,26,277,10000,0
1,8,22,277,10000,1
1,8,24,277,10000,1
1,8,20,277,10000,0
1,8,18,277,10000,0
1,8,18,277,10000,0
1,8,48,277,10000,1
1,8,48,277,10000,1
1,8,41,277,10000,0
1,8,41,277,10000,0
1,8,41,277,10000,1
1,8,31,277,10000,0
1,8,47,277,10000,1
1,8,95,277,10000,1
1,8,128,277,10000,1
1,8,12,277,10000,1
1,8,46,277,10000,0
1,8,47,277,10000,1
1,8,59,277,10000,1
1,9,18,277,9000,0
1,9,34,277,9000,0
1,9,12,277,9000,0
1,9,11,277,9000,1
1,9,28,277,9000,1
1,9,26,277,9000,1
1,9,22,277,9000,1
1,9,24,277,9000,0
1,9,20,277,9000,1
1,9,18,277,9000,1
1,9,18,277,9000,1
1,9,48,277,9000,1
1,9,48,277,9000,1
1,9,48,277,9000,0
1,9,41,277,9000,1
1,9,41,277,9000,1
1,9,41,277,9000,1
1,9,31,277,9000,1
1,9,47,277,9000,1
1,9,95,277,9000,1
1,9,128,277,9000,1
1,9,63,277,9000,1
1,9,12,277,9000,1
1,9,46,277,9000,0
1,9,47,277,9000,1
1,9,59,277,9000,1
1,10,18,277,10000,0
1,10,34,277,10000,0
1,10,12,277,10000,1
1,10,11,277,10000,1
1,10,28,277,10000,1
1,10,26,277,10000,0
1,10,22,277,10000,0
1,10,24,277,10000,0
1,10,20,277,10000,1
1,10,18,277,10000,1
1,10,18,277,10000,1
1,10,48,277,10000,0
1,10,48,277,10000,0
1,10,48,277,10000,1
1,10,41,277,10000,0
1,10,41,277,10000,0
1,10,41,277,10000,0
1,10,31,277,10000,0
1,10,47,277,10000,0
1,10,95,277,10000,1
1,10,128,277,10000,1
1,10,63,277,10000,1
1,10,12,277,10000,1
1,10,46,277,10000,1
1,10,47,277,10000,1
1,10,59,277,10000,1
1,11,18,277,10000,0
1,11,34,277,10000,1
1,11,12,277,10000,0
