week_day,hour,rout_count,temperature,visibility,distance
5,9,18,276,8000,5.024400755
5,9,34,276,8000,55.55832315
5,9,12,276,8000,101.3228295
5,9,11,276,8000,407.1090582
5,9,28,276,8000,244.7188739
5,9,26,276,8000,356.1516778
5,9,22,276,8000,201.9400543
5,9,24,276,8000,686.5614684
5,9,20,276,8000,92.01532437
5,9,18,276,8000,195.1410002
5,9,18,276,8000,356.9659866
5,9,48,276,8000,41.03643457
5,9,48,276,8000,67.228537
5,9,48,276,8000,62.7968113
5,9,41,276,8000,57.91854623
5,9,41,276,8000,350.253679
5,9,41,276,8000,246.096025
5,9,31,276,8000,105.2272881
5,9,47,276,8000,11.75627152
5,9,95,276,8000,695.988359
5,9,128,276,8000,1309.581411
5,9,63,276,8000,1806.165804
5,9,12,276,8000,1025.625258
5,9,46,276,8000,33.19044464
5,9,47,276,8000,1459.499662
5,9,59,276,8000,1961.21612
5,9,95,276,8000,211.3020888
5,9,128,276,8000,217.8618234
5,9,63,276,8000,653.641578
5,9,46,276,8000,509.2983836
5,9,47,276,8000,455.5397541
5,9,59,276,8000,550.5166716
5,9,18,276,8000,487.9509839
5,9,22,276,8000,551.671843
5,9,24,276,8000,1.671508405
5,9,20,276,8000,123.9202048
5,9,18,276,8000,228.4286299
5,9,18,276,8000,298.9102948
5,9,48,276,8000,44.66995812
5,9,12,276,8000,6.926374202
5,9,34,276,8000,14.58361922
5,9,11,276,8000,229.2513686
5,9,28,276,8000,374.1808141
5,9,26,276,8000,48.47960018
5,9,47,276,8000,14.5316143
5,9,31,276,8000,12.64529616
5,9,41,276,8000,160.8577425
5,9,41,276,8000,332.3333061
5,9,41,276,8000,153.1159503
5,9,48,276,8000,63.36908028
5,9,48,276,8000,12.85909037
5,9,12,276,8000,583.9151302
5,10,18,276,9000,56.33504097
5,10,34,276,9000,325.0872945
5,10,12,276,9000,319.159934
5,10,11,276,9000,443.9978142
5,10,28,276,9000,11.34228522
5,10,26,276,9000,495.9216608
5,10,22,276,9000,840.0342001
5,10,24,276,9000,1188.347121
5,10,20,276,9000,9.395237601
5,10,18,276,9000,7.111281199
5,10,18,276,9000,26.48541687
5,10,48,276,9000,7.060403914
5,10,48,276,9000,266.0699213
5,10,48,276,9000,331.2472535
5,10,41,276,9000,182.6258806
5,10,41,276,9000,69.1410588
5,10,41,276,9000,380.8015864
5,10,31,276,9000,512.4686791
5,10,47,276,9000,411.3368769
5,10,95,276,9000,467.4064943
5,10,128,276,9000,646.0909292
5,10,63,276,9000,548.6254935
5,10,12,276,9000,493.7432796
5,10,46,276,9000,669.8236967
5,10,47,276,9000,535.2365466
5,10,59,276,9000,89.69175252
5,10,95,276,9000,110.5981961
5,10,128,276,9000,1105.193422
5,10,63,276,9000,1294.336202
5,10,46,276,9000,1753.594308
5,10,47,276,9000,1458.375255
5,10,59,276,9000,1066.109394
5,10,18,276,9000,7.559735391
5,10,22,276,9000,371.5675513
5,10,24,276,9000,770.0853644
5,10,20,276,9000,1135.627301
5,10,18,276,9000,94.29961903
5,10,18,276,9000,566.3474511
5,10,48,276,9000,8.537317626
5,10,12,276,9000,13.11172981
5,10,34,276,9000,120.2563822
5,10,11,276,9000,8.946109317
5,10,28,276,9000,354.7254074
5,10,26,276,9000,195.6535189
5,10,47,276,9000,125.4676549
5,10,31,276,9000,383.9439913
5,10,41,276,9000,339.0262445
5,10,41,276,9000,53.6247474
5,10,41,276,9000,215.5360585
5,10,48,276,9000,31.10576443
5,10,48,276,9000,54.39312077
5,10,12,276,9000,1422.028375
5,11,18,277,10000,1125.745163
5,11,34,277,10000,481.7202528
5,11,12,277,10000,256.3464355
5,11,11,277,10000,480.7618162
5,11,28,277,10000,56.40155509
5,11,26,277,10000,22.43327318
5,11,22,277,10000,206.5933653
5,11,24,277,10000,24.33456699
5,11,20,277,10000,348.2304504
5,11,18,277,10000,135.5878143
5,11,18,277,10000,56.69942618
5,11,48,277,10000,18.87374848
5,11,48,277,10000,48.40192166
5,11,48,277,10000,116.9122702
5,11,41,277,10000,26.88295423
5,11,41,277,10000,112.7517242
5,11,41,277,10000,390.8367576
5,11,31,277,10000,260.5112625
5,11,47,277,10000,143.8072674
5,11,95,277,10000,313.0494582
5,11,128,277,10000,525.679051
5,11,63,277,10000,1502.073863
5,11,12,277,10000,2216.268576
5,11,46,277,10000,1929.460612
5,11,47,277,10000,1799.960718
5,11,59,277,10000,1725.053263
5,11,95,277,10000,347.0625194
5,11,128,277,10000,288.6571079
5,11,63,277,10000,142.3329308
5,11,46,277,10000,582.6268186
5,11,47,277,10000,674.5404454
5,11,59,277,10000,505.7471531
5,11,18,277,10000,498.8941411
