week_day,hour,rout_count,temperature,visibility,distance
5,7,41,270,10000,342.1669252
2,9,20,274,10000,262.3493803
3,10,59,275,10000,6.234727073
2,14,128,279,10000,1033.713245
3,9,41,273,10000,307.4673205
5,15,41,277,10000,581.2944966
4,17,12,280,10000,814.9593467
1,9,12,277,9000,2504.709376
3,11,12,276,10000,1178.976848
1,18,48,282,10000,3112.11396
2,10,95,274,10000,362.2508055
5,11,46,279,7000,1557.005989
3,15,12,285,10000,596.8749796
1,9,26,273,10000,51.51182619
5,10,59,273,10000,548.8794906
4,19,34,286,10000,19.45942045
2,17,18,278,10000,359.2105297
2,18,41,278,10000,987.0073534
2,13,95,276,10000,22.39286026
5,19,18,287,10000,176.1230938
5,18,47,277,10000,3349.22267
2,19,18,277,10000,18.50240003
4,9,48,274,10000,27.43515135
2,14,20,279,10000,84.67419674
3,16,41,277,10000,47.50162366
4,10,41,274,10000,318.9874327
1,18,48,284,10000,57.31765296
2,11,26,278,10000,11.04150981
4,18,48,280,10000,30.62954649
5,19,18,277,10000,322.0819166
4,7,24,275,10000,794.1100196
5,19,41,277,10000,25.32673766
4,8,26,275,10000,161.4520655
2,12,20,281,10000,228.5670956
1,9,12,277,9000,304.6865232
2,13,63,276,10000,50.46862589
2,11,41,275,10000,759.4937229
3,13,47,284,10000,32.4207865
4,11,34,282,10000,23.93800645
4,12,41,276,10000,138.9770405
5,7,20,270,10000,184.0989058
5,9,95,275,10000,731.7930036
4,13,31,276,10000,631.7489075
1,7,11,271,10000,52.09379303
3,13,18,276,10000,7.803196407
4,12,28,275,10000,216.1328777
2,8,128,277,10000,1396.940612
4,9,26,275,10000,145.6603881
4,8,12,274,10000,757.9857855
1,11,11,278,10000,449.2619767
3,7,47,271,10000,257.1861878
4,13,47,285,10000,3058.553171
5,8,22,270,10000,193.6136917
5,19,48,277,10000,129.9668737
1,19,48,277,10000,82.13686547
1,10,59,279,9000,606.6983482
5,14,41,279,10000,922.6730995
4,18,28,286,10000,43.62233038
2,8,59,268,10000,2562.767848
4,18,41,286,10000,1131.877171
3,8,11,271,10000,201.2740042
4,14,18,286,10000,309.19504
5,19,41,277,10000,203.265984
2,11,12,275,10000,1698.319776
1,10,41,275,10000,299.8118937
1,14,47,285,10000,636.6761496
4,8,41,274,10000,1448.589105
1,19,26,281,10000,205.096852
1,14,48,281,10000,38.36830944
5,18,18,287,10000,627.0186518
1,10,22,279,9000,122.1871132
2,18,41,274,9000,278.6404851
3,8,95,271,10000,30.378702
3,16,34,277,10000,479.4731826
2,14,31,276,10000,1.131284639
3,15,47,277,10000,2348.797887
2,19,41,277,10000,20.3356638
1,12,18,279,10000,171.962891
2,18,46,277,10000,989.1725878
3,19,18,285,10000,1.806267231
4,10,24,279,10000,713.903878
3,9,48,273,10000,400.4427812
5,15,63,287,10000,1871.122832
5,19,18,277,10000,2696.346721
4,12,48,284,10000,156.437903
4,12,46,276,10000,726.5175436
5,9,48,276,8000,12.85909037
5,10,12,273,10000,356.6297887
5,11,95,279,7000,837.7280212
3,9,18,274,10000,277.3457837
2,12,31,281,10000,14.48751218
3,19,26,279,10000,477.9540842
4,11,63,276,10000,207.2801304
3,19,48,285,10000,69.93909883
3,8,41,274,10000,22.06668845
3,16,18,279,10000,5.656423193
2,12,128,277,10000,375.4355806
2,15,20,273,550,1607.569441
5,16,128,278,10000,1659.20446
1,10,95,277,10000,325.0490609
2,16,26,273,4200,1183.575503
2,14,48,279,10000,73.45826875
1,11,22,277,10000,40.11732503
1,19,24,281,10000,537.1798973
5,7,11,277,3100,159.9689913
5,17,41,277,10000,395.2292026
5,15,20,277,10000,2229.343291
1,16,48,280,10000,77.78115647
4,12,34,284,10000,33.80069928
4,19,48,286,10000,40.97962165
3,8,48,271,10000,57.8751926
1,15,46,282,10000,1028.762397
1,14,47,281,10000,2348.69729
1,14,46,281,10000,1899.550831
4,19,95,279,10000,397.1380335
2,19,31,277,10000,520.1005585
3,9,47,273,10000,2.557973425
2,10,24,274,10000,798.8093706
1,17,28,282,10000,970.2484951
4,12,24,276,10000,7.229433583
5,15,12,286,10000,337.4708824
1,18,11,284,10000,295.1962066
2,16,18,273,4200,1361.652196
2,19,31,277,10000,23.57322018
5,9,63,272,10000,1568.020829
4,12,128,276,10000,315.5302275
5,15,31,277,10000,323.0727558
1,16,34,282,10000,32.19076633
2,17,46,278,10000,1660.546955
3,11,18,275,10000,1444.256785
4,10,46,274,10000,529.4347167
5,7,95,277,3100,2069.636643
5,9,31,272,10000,562.182371
5,8,28,271,10000,865.6263519
5,11,20,274,10000,1705.894252
1,17,18,282,10000,583.3374069
4,10,31,274,10000,1934.869042
1,10,47,275,10000,655.1063395
1,15,47,286,10000,1143.621754
1,15,59,286,10000,1973.953046
1,13,18,283,10000,13.38756016
4,10,48,279,10000,42.9386801
1,16,22,282,10000,54.20680816
1,12,26,283,9000,449.3004423
2,11,18,279,10000,356.6619205
2,15,18,273,550,3.205384581
4,19,46,279,10000,2.199960386
3,16,12,286,10000,1027.901058
4,15,20,286,10000,3.26665725
1,15,48,282,10000,340.3142701
3,15,48,279,10000,253.310663
5,19,63,277,10000,760.73605
2,8,63,277,10000,2210.419258
3,12,18,283,10000,280.830807
2,15,28,273,550,3092.84207
2,15,18,273,550,193.851881
2,11,41,278,10000,459.874609
4,8,24,274,10000,686.8521442
2,8,20,277,10000,92.62241092
1,7,63,271,10000,477.5842242
1,15,28,286,10000,63.49745116
2,12,24,275,10000,792.2572967
1,14,22,280,10000,335.9287498
3,11,46,276,10000,1034.551438
2,10,41,274,10000,336.099756
1,15,46,286,10000,1097.041296
4,11,20,276,10000,809.6165484
4,14,41,278,10000,326.029155
2,12,41,281,10000,5.704023666
5,9,18,275,10000,194.3364506
3,19,41,276,10000,2055.841902
1,14,48,280,10000,17.50468914
1,10,31,275,10000,13.69373802
5,12,20,285,10000,11.15641233
3,17,24,280,10000,831.4005542
3,10,18,279,10000,55.80290031
2,10,41,274,10000,571.2054763
2,13,48,276,10000,399.0578121
3,15,12,285,10000,1413.63034
4,17,24,277,10000,687.8524029
5,14,59,285,10000,1233.366912
4,13,26,276,10000,25.07891591
2,19,95,278,10000,380.725061
5,13,20,278,10000,8.462564624
4,11,26,276,10000,181.089224
3,14,48,285,10000,51.55773376
5,16,34,278,10000,346.2434006
5,8,47,271,10000,11.87070905
2,8,12,268,10000,541.7787196
4,15,20,278,10000,146.6217513
5,11,41,274,10000,373.0828454
1,8,47,275,8000,1402.266122
1,17,20,278,10000,2197.112995
1,7,48,271,10000,26.11825162
1,7,12,275,10000,334.1824839
1,17,48,286,10000,498.3321178
5,18,11,283,10000,52.71781971
3,9,48,274,10000,22.217091
2,13,24,276,10000,180.716565
2,8,18,268,10000,1559.012752
3,18,18,286,10000,1253.246545
4,18,12,286,10000,1403.045524
3,10,95,275,10000,21.68352132
4,7,128,274,10000,195.2734388
5,14,18,285,10000,235.0273197
3,10,48,279,10000,106.1141815
1,12,41,280,10000,101.4527917
3,16,20,279,10000,78.88437778
