week_day,hour,rout_count,temperature,visibility,humidity,distance
5,10,48,273,10000,75,45.43524413
1,8,31,271,10000,86,172.830955
3,10,63,279,10000,38,1872.200631
1,7,47,271,10000,86,50.37612573
4,19,41,286,10000,24,408.7843269
3,18,34,280,10000,48,195.1757057
1,18,26,278,10000,68,1110.702323
4,14,31,278,10000,88,519.5161722
3,12,41,283,10000,29,107.5321522
2,12,22,275,10000,69,354.2514937
1,15,18,281,10000,45,697.5666239
4,18,95,280,10000,65,470.3918806
4,14,12,278,10000,88,2792.891758
4,18,12,280,10000,65,3885.409374
2,17,28,278,10000,77,838.9445233
2,14,41,276,10000,59,182.4832261
2,8,11,274,10000,74,34.23256796
2,19,59,278,10000,48,498.3662535
5,9,18,276,8000,86,5.024400755
3,16,41,279,10000,48,32.69525352
3,19,34,285,10000,23,55.05125949
3,13,48,284,10000,25,139.408695
2,10,20,274,10000,74,1829.048317
4,12,12,276,10000,100,622.144871
1,8,47,275,8000,93,75.79981628
2,11,18,275,10000,74,590.9494909
5,15,47,287,10000,20,3062.793392
2,8,22,277,10000,69,42.581418
2,13,18,275,10000,69,1606.232848
3,19,41,285,10000,23,355.943983
4,12,26,284,10000,27,5.572952666
4,14,12,286,10000,24,434.8624253
5,15,59,287,10000,20,2542.2587
5,14,18,285,10000,62,5.344275491
2,12,28,276,10000,69,74.16026832
3,9,59,274,10000,86,1324.915698
3,18,18,280,10000,48,45.95554886
1,9,41,277,9000,93,829.353992
2,19,46,274,10000,93,2197.317349
1,14,18,281,10000,85,6.861661695
4,8,31,275,10000,51,178.8362055
3,18,48,277,10000,69,206.506358
2,18,59,278,10000,44,1683.367076
5,14,41,279,10000,75,339.7567332
3,18,46,280,10000,48,87.12226312
4,18,12,286,10000,24,141.8760941
5,10,18,276,9000,93,7.111281199
4,17,18,286,10000,24,55.64609633
2,12,63,276,10000,69,1895.223572
5,13,63,283,10000,76,931.7395748
5,18,12,283,10000,61,1437.636074
2,14,22,279,10000,60,2070.575526
3,14,48,285,10000,23,39.86197392
5,19,48,277,10000,93,77.77773816
4,16,47,279,10000,71,667.6990781
2,19,12,278,10000,48,107.5701552
5,14,63,288,10000,22,678.1226077
2,12,12,275,10000,69,74.60144742
3,15,18,277,10000,60,40.58625556
5,10,41,279,10000,41,265.4629277
1,13,59,281,10000,65,300.4005758
4,12,59,276,10000,100,457.6989726
2,18,24,278,10000,44,4.87878768
4,11,46,274,10000,74,1554.219728
2,11,41,275,10000,74,1267.770393
3,15,11,285,10000,23,4.521153403
2,12,48,275,10000,69,178.2009891
2,8,18,268,10000,85,1574.109363
3,9,11,275,10000,51,349.1826086
5,7,28,270,10000,73,237.1666158
5,16,63,285,10000,54,1107.238057
5,18,47,283,10000,61,1426.234852
4,16,48,287,10000,22,245.4226186
3,9,63,275,10000,51,509.0228481
1,9,63,277,9000,93,2193.826796
3,12,20,276,10000,69,36.54491106
1,11,128,278,10000,82,623.9050566
4,15,18,286,10000,22,1.616689869
5,13,46,276,10000,47,3173.221022
3,15,46,279,10000,48,502.0162939
1,9,12,273,10000,57,137.2493232
1,8,22,271,10000,86,46.67554532
1,19,34,277,10000,69,254.9414912
5,11,18,277,10000,86,265.1536754
2,9,22,271,10000,79,132.5521838
1,11,34,277,10000,64,169.5504555
4,18,48,286,10000,24,433.1848754
